anime_id,title_english,type,episodes,status,duration,rating,score,rank,popularity,premiered
14935,Pocket Monsters: Sing Meloetta - Search for the Rinka Berries,OVA,1,Finished Airing,7 min.,PG - Children,6.36,6164,6488,
19619,,Special,1,Finished Airing,28 min.,PG - Children,7.3,2424,8677,
16804,,Movie,1,Finished Airing,1 hr. 15 min.,,5.07,12168,11880,
2973,Fire Tripper,OVA,1,Finished Airing,50 min.,PG-13 - Teens 13 or older,6.87,4032,6242,
33708,,ONA,1,Finished Airing,6 min.,G - All Ages,5.76,7870,10134,
9801,Tokitama Hustle,Special,1,Finished Airing,4 min.,PG-13 - Teens 13 or older,4.39,9393,9638,
2859,,OVA,2,Finished Airing,30 min. per ep.,Rx - Hentai,6.24,,6357,
15379,The Troubled Life of Miss Kotoura,TV,12,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,7.35,2240,458,Winter 2013
3322,Our Home&#039;s Fox Deity,TV,24,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.28,2511,2323,Spring 2008
33876,,Special,1,Finished Airing,20 min.,PG-13 - Teens 13 or older,7.12,10929,11735,
155,X - The Movie,Movie,1,Finished Airing,1 hr. 33 min.,R - 17+ (violence & profanity),6.66,4951,2298,
31403,,OVA,2,Finished Airing,20 min. per ep.,Rx - Hentai,5.91,,6705,
1148,Doomed Megalopolis,OVA,4,Finished Airing,47 min. per ep.,R+ - Mild Nudity,6.02,7313,5075,
30449,,Special,1,Finished Airing,45 min.,PG-13 - Teens 13 or older,6.18,10026,10692,
16602,Dead Girl Trailer,ONA,1,Finished Airing,1 min.,R - 17+ (violence & profanity),3.43,9498,7693,
2575,Don Chuck Stories,TV,26,Finished Airing,25 min. per ep.,G - All Ages,6.07,7168,9412,Spring 1975
13511,Tumulus Gal Coffy:Cofunderella,Movie,1,Finished Airing,20 min.,G - All Ages,5,9914,12910,
2471,Doraemon,TV,1787,Finished Airing,11 min. per ep.,PG - Children,7.73,1034,2666,Winter 1979
32521,,OVA,1,Finished Airing,30 min.,G - All Ages,5.63,8146,9558,
31259,,Movie,1,Finished Airing,5 min.,G - All Ages,5.2,8841,11049,
8777,Julie the Wild Rose,TV,13,Finished Airing,25 min. per ep.,G - All Ages,6.05,11510,10536,Winter 1979
1198,,TV,12,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,6.68,4865,3053,Summer 2006
1821,Blood Shadow,OVA,3,Finished Airing,30 min. per ep.,Rx - Hentai,6.3,,5507,
36001,,TV,0,Currently Airing,3 min.,PG-13 - Teens 13 or older,5.46,8406,2870,Spring 2018
3584,Idol of Darkness,OVA,1,Finished Airing,45 min.,Rx - Hentai,4.84,,8599,
34974,,Movie,1,Not yet aired,2 hr.,,0,,9147,
32788,,Music,1,Finished Airing,4 min.,G - All Ages,5.19,8847,12730,
34755,,Movie,1,Finished Airing,30 min.,G - All Ages,6.67,11000,13205,
36871,,Unknown,0,Not yet aired,Unknown,PG-13 - Teens 13 or older,0,,7756,
1576,Intrigue in the Bakumatsu: Irohanihoheto,ONA,26,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.19,2836,2072,
7581,,OVA,2,Finished Airing,30 min. per ep.,Rx - Hentai,6.53,,5786,
1093,,TV,136,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,6.17,6883,8730,Fall 1988
17787,,Special,1,Finished Airing,4 min.,PG-13 - Teens 13 or older,6.06,7215,8304,
26309,,OVA,1,Finished Airing,43 min.,G - All Ages,4.75,10545,13275,
3066,Queen and Slave,OVA,1,Finished Airing,28 min.,Rx - Hentai,5.43,,7737,
6245,Spirit of Wonder: China-san Short Stories,Special,3,Finished Airing,12 min. per ep.,R+ - Mild Nudity,6.75,4551,8066,
35972,,TV,0,Not yet aired,Unknown,PG-13 - Teens 13 or older,0,,1350,Fall 2018
35395,At the Circus,Movie,1,Finished Airing,2 min.,G - All Ages,5.1,8943,13331,
29003,,TV,13,Finished Airing,5 min. per ep.,,6,11068,12521,Summer 2009
2675,Doraemon the Movie: Nobita and the Galaxy Super-express,Movie,1,Finished Airing,1 hr. 37 min.,PG - Children,7.38,2106,6901,
37404,Circus,Music,1,Finished Airing,1 min.,G - All Ages,4.46,9899,13976,
30298,,Special,3,Finished Airing,21 min. per ep.,G - All Ages,5.42,11125,11784,
19773,,Special,1,Finished Airing,1 hr. 19 min.,PG-13 - Teens 13 or older,5.08,9573,10905,
23849,,Movie,1,Finished Airing,25 min.,PG - Children,6.81,4287,5648,
17731,,TV,12,Finished Airing,2 min. per ep.,PG-13 - Teens 13 or older,6.71,4712,4130,Spring 2013
1829,Tales from Earthsea,Movie,1,Finished Airing,1 hr. 55 min.,PG-13 - Teens 13 or older,7.13,3072,1125,
29928,,Movie,1,Finished Airing,10 min.,G - All Ages,4.14,10619,12597,
16397,Photo Kano,TV,13,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,6.31,6365,1218,Spring 2013
3295,,TV,60,Finished Airing,25 min. per ep.,G - All Ages,6.67,4915,6190,Winter 2008
34547,Altair: A Record of Battles,TV,24,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.55,1508,1784,Summer 2017
2178,,Movie,1,Finished Airing,1 hr. 26 min.,R - 17+ (violence & profanity),6.84,4143,3442,
35631,,ONA,4,Finished Airing,33 sec. per ep.,G - All Ages,5.34,8626,6427,
4157,,OVA,1,Finished Airing,22 min.,Rx - Hentai,5.04,,9417,
36945,,TV,12,Not yet aired,5 min. per ep.,,0,,8885,
2451,Space Adventure Cobra,TV,31,Finished Airing,24 min. per ep.,R+ - Mild Nudity,7.81,868,3721,Fall 1982
5109,,OVA,2,Finished Airing,30 min. per ep.,Rx - Hentai,5.99,,6700,
255,,OVA,7,Finished Airing,26 min. per ep.,PG-13 - Teens 13 or older,7.74,1018,3993,
23423,Paradise of Innocence,OVA,3,Finished Airing,26 min. per ep.,R+ - Mild Nudity,6.06,7211,2910,
12795,,OVA,2,Finished Airing,40 min. per ep.,PG-13 - Teens 13 or older,5.74,7922,9683,
16415,,Special,1,Finished Airing,5 min.,PG-13 - Teens 13 or older,6.28,6481,7276,
4088,The Amazing 3,TV,52,Finished Airing,23 min. per ep.,G - All Ages,6.6,12671,10017,Summer 1965
31904,,TV,10,Finished Airing,24 min. per ep.,R+ - Mild Nudity,5.57,8243,689,Spring 2016
